Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
00:33:52,29.54,79.8,0.0,8.87,off,1.68
00:33:53,29.53,79.78,0.0,8.98,off,1.68
00:33:55,29.55,79.78,0.0,9.04,off,1.68
00:33:57,29.55,79.8,0.0,8.96,off,1.68
00:33:59,29.53,79.8,0.0,9.1,off,1.68
00:34:01,29.57,79.82,0.0,8.96,off,1.68
00:34:02,29.55,79.81,0.0,9.01,off,1.68
00:34:04,29.57,79.81,0.0,8.84,off,1.68
00:34:06,29.54,79.82,0.0,8.78,off,1.68
00:34:08,29.55,79.79,0.0,8.81,off,1.68
00:34:10,29.55,79.79,0.0,8.78,off,1.68
00:34:12,29.55,79.76,0.0,8.78,off,1.68
00:34:13,29.55,79.75,0.0,8.96,off,1.68
00:34:15,29.55,79.78,0.0,8.84,off,1.68
00:34:17,29.55,79.78,0.0,8.98,off,1.68
00:34:19,29.55,79.81,0.0,8.96,off,1.68
00:34:20,29.56,79.84,0.0,8.9,off,1.68
00:34:22,29.56,79.81,0.0,8.93,off,1.68
00:34:24,29.55,79.77,0.0,8.93,off,1.68
00:34:26,29.55,79.74,0.0,9.04,off,1.68
00:34:27,29.55,79.73,0.0,9.01,off,1.68
00:34:29,29.53,79.7,0.0,9.13,off,1.68
00:34:31,29.56,79.7,0.0,9.01,off,1.68
00:34:32,29.53,79.73,0.0,8.96,off,1.68
00:34:34,29.54,79.71,0.0,8.98,off,1.68
00:34:36,29.55,79.67,0.0,9.1,off,1.68
00:34:38,29.55,79.62,0.0,8.87,off,1.68
00:34:39,29.54,79.64,0.0,8.78,off,1.68
00:34:41,29.55,79.64,0.0,8.81,off,1.68
00:34:43,29.52,79.65,0.0,9.48,off,1.68
00:34:45,29.55,79.65,0.0,9.65,off,1.68
00:34:46,29.56,79.66,0.0,9.59,off,1.68
00:34:47,29.55,79.68,0.0,9.68,off,1.68
00:34:49,29.54,79.7,0.0,9.56,off,1.68
00:34:50,29.55,79.7,0.0,8.93,off,1.68
00:34:52,29.56,79.67,0.0,8.9,off,1.68
00:34:53,29.54,79.65,0.0,8.55,off,1.68
00:34:55,29.55,79.64,0.0,8.67,off,1.68
00:34:57,29.54,79.61,0.0,8.72,off,1.68
00:34:59,29.54,79.65,0.0,9.13,off,1.68
00:35:00,29.56,79.66,0.0,9.3,off,1.68
00:35:02,29.54,79.69,0.0,9.19,off,1.68
00:35:04,29.55,79.66,0.0,9.24,off,1.68
00:35:05,29.57,79.62,0.0,8.61,off,1.68
00:35:07,29.55,79.54,0.0,8.81,off,1.68
00:35:09,29.55,79.56,0.0,8.81,off,1.68
00:35:11,29.55,79.52,0.0,8.84,off,1.68
00:35:12,29.55,79.54,0.0,8.93,off,1.68
00:35:14,29.54,79.56,0.0,9.24,off,1.68
00:35:16,29.54,79.56,0.0,9.33,off,1.68
00:35:18,29.54,79.57,0.0,9.82,off,1.68
00:35:20,29.54,79.55,0.0,9.88,off,1.68
00:35:22,29.54,79.53,0.0,10.0,off,1.68
00:35:23,29.55,79.52,0.0,9.91,off,1.68
00:35:26,29.56,79.5,0.0,9.76,off,1.68
00:35:27,29.55,79.49,0.0,9.94,off,1.68
00:35:29,29.54,79.46,0.0,9.91,off,1.68
00:35:31,29.53,79.47,0.0,9.79,off,1.68
00:35:32,29.56,79.47,0.0,9.48,off,1.68
00:35:34,29.52,79.43,0.0,9.65,off,1.68
00:35:36,29.54,79.45,0.0,9.53,off,1.68
00:35:38,29.56,79.48,0.0,9.48,off,1.68
00:35:40,29.55,79.51,0.0,9.68,off,1.68
00:35:42,29.53,79.54,0.0,9.56,off,1.68
00:35:44,29.56,79.56,0.0,9.53,off,1.68
00:35:45,29.54,79.54,0.0,9.76,off,1.68
00:35:48,29.54,79.54,0.0,9.76,off,1.68
00:35:49,29.54,79.56,0.0,9.97,off,1.68
00:35:52,29.54,79.55,0.0,9.76,off,1.68
00:35:53,29.5,79.57,0.0,9.59,off,1.68
00:35:55,29.54,79.61,0.0,9.59,off,1.68
00:35:57,29.54,79.61,0.0,9.65,off,1.68
00:35:59,29.54,79.61,0.0,9.71,off,1.68
00:36:00,29.52,79.59,0.0,9.59,off,1.68
00:36:02,29.53,79.61,0.0,9.59,off,1.68
00:36:04,29.52,79.64,0.0,9.56,off,1.68
00:36:06,29.54,79.67,0.0,9.82,off,1.68
00:36:08,29.52,79.69,0.0,9.82,off,1.68
00:36:10,29.51,79.69,0.0,9.85,off,1.68
00:36:12,29.55,79.72,0.0,9.71,off,1.68
00:36:13,29.53,79.73,0.0,9.04,off,1.68
00:36:16,29.54,79.73,0.0,8.84,off,1.68
00:36:18,29.52,79.71,0.0,9.04,off,1.68
00:36:19,29.51,79.7,0.0,9.07,off,1.68
00:36:21,29.55,79.74,0.0,9.13,off,1.68
00:36:22,29.55,79.74,0.0,9.24,off,1.68
00:36:24,29.55,79.75,0.0,9.27,off,1.68
00:36:25,29.53,79.76,0.0,9.36,off,1.68
00:36:27,29.52,79.74,0.0,9.19,off,1.68
00:36:28,29.52,79.73,0.0,9.19,off,1.68
00:36:30,29.52,79.71,0.0,9.39,off,1.68
00:36:32,29.54,79.71,0.0,9.19,off,1.68
00:36:33,29.54,79.75,0.0,9.13,off,1.68
00:36:35,29.52,79.69,0.0,9.24,off,1.68
00:36:37,29.55,79.73,0.0,9.24,off,1.68
00:36:39,29.54,79.7,0.0,9.48,off,1.68
00:36:41,29.54,79.7,0.0,9.36,off,1.68
00:36:43,29.52,79.71,0.0,9.48,off,1.68
00:36:44,29.53,79.72,0.0,9.36,off,1.68
00:36:46,29.54,79.72,0.0,9.3,off,1.68
00:36:48,29.54,79.72,0.0,9.24,off,1.68
00:36:50,29.52,79.72,0.0,9.13,off,1.68
00:36:52,29.52,79.68,0.0,9.82,off,1.68
00:36:53,29.53,79.68,0.0,8.72,off,1.68
00:36:54,29.54,79.67,0.0,8.67,off,1.68
00:36:56,29.52,79.7,0.0,8.58,off,1.68
00:36:57,29.49,79.68,0.0,8.78,off,1.68
00:36:58,29.54,79.7,0.0,8.9,off,1.68
00:37:00,29.53,79.68,0.0,8.9,off,1.68
00:37:01,29.53,79.71,0.0,8.75,off,1.68
00:37:03,29.54,79.73,0.0,9.1,off,1.68
00:37:05,29.54,79.68,0.0,9.53,off,1.68
00:37:07,29.52,79.66,0.0,9.3,off,1.68
00:37:09,29.53,79.63,0.0,8.9,off,1.68
00:37:10,29.54,79.59,0.0,8.96,off,1.68
00:37:12,29.55,79.56,0.0,8.75,off,1.68
00:37:13,29.54,79.56,0.0,8.72,off,1.68
00:37:14,29.54,79.53,0.0,8.67,off,1.68
00:37:16,29.53,79.51,0.0,8.67,off,1.68
00:37:18,29.55,79.54,0.0,8.81,off,1.68
00:37:20,29.53,79.52,0.0,8.81,off,1.68
00:37:21,29.54,79.55,0.0,8.69,off,1.68
00:37:23,29.54,79.59,0.0,8.72,off,1.68
00:37:25,29.52,79.58,0.0,8.67,off,1.68
00:37:26,29.54,79.58,0.0,8.78,off,1.68
00:37:28,29.54,79.59,0.0,8.72,off,1.68
00:37:30,29.55,79.6,0.0,8.72,off,1.68
00:37:32,29.54,79.57,0.0,8.78,off,1.68
00:37:34,29.53,79.58,0.0,8.81,off,1.68
00:37:35,29.54,79.57,0.0,8.72,off,1.68
00:37:37,29.54,79.54,0.0,8.78,off,1.68
00:37:39,29.55,79.49,0.0,8.84,off,1.68
00:37:41,29.52,79.44,0.0,8.87,off,1.68
00:37:42,29.52,79.43,0.0,8.84,off,1.68
00:37:44,29.54,79.44,0.0,9.3,off,1.68
00:37:46,29.54,79.42,0.0,9.48,off,1.68
00:37:48,29.54,79.46,0.0,9.48,off,1.68
00:37:49,29.54,79.47,0.0,9.3,off,1.68
00:37:52,29.55,79.49,0.0,9.48,off,1.68
00:37:54,29.53,79.47,0.0,9.59,off,1.68
00:37:55,29.53,79.51,0.0,9.56,off,1.68
00:37:57,29.55,79.51,0.0,8.98,off,1.68
00:37:58,29.54,79.52,0.0,8.96,off,1.68
00:38:00,29.51,79.55,0.0,9.07,off,1.68
00:38:02,29.54,79.58,0.0,9.07,off,1.68
00:38:04,29.54,79.56,0.0,9.16,off,1.68
00:38:05,29.53,79.56,0.0,9.16,off,1.68
00:38:07,29.53,79.57,0.0,9.1,off,1.68
00:38:09,29.52,79.57,0.0,9.01,off,1.68
00:38:10,29.52,79.56,0.0,8.98,off,1.68
00:38:12,29.55,79.58,0.0,9.04,off,1.68
00:38:14,29.53,79.56,0.0,9.01,off,1.68
00:38:15,29.52,79.57,0.0,9.07,off,1.68
00:38:17,29.54,79.58,0.0,9.22,off,1.68
00:38:19,29.53,79.58,0.0,9.5,off,1.68
00:38:20,29.54,79.58,0.0,9.36,off,1.68
00:38:22,29.53,79.61,0.0,9.24,off,1.68
00:38:23,29.54,79.62,0.0,8.96,off,1.68
00:38:25,29.54,79.64,0.0,8.9,off,1.68
00:38:27,29.55,79.61,0.0,8.9,off,1.68
00:38:29,29.55,79.61,0.0,8.9,off,1.68
00:38:30,29.55,79.58,0.0,8.69,off,1.68
00:38:32,29.54,79.59,0.0,8.87,off,1.68
00:38:34,29.54,79.62,0.0,8.81,off,1.68
00:38:36,29.55,79.62,0.0,8.67,off,1.68
00:38:38,29.54,79.64,0.0,8.72,off,1.68
00:38:39,29.54,79.62,0.0,8.72,off,1.68
00:38:41,29.55,79.64,0.0,8.72,off,1.68
00:38:42,29.54,79.64,0.0,8.9,off,1.68
00:38:44,29.52,79.65,0.0,8.78,off,1.68
00:38:46,29.55,79.68,0.0,8.72,off,1.68
00:38:48,29.57,79.63,0.0,8.84,off,1.68
00:38:49,29.56,79.63,0.0,8.72,off,1.68
00:38:51,29.56,79.62,0.0,9.1,off,1.68
00:38:54,29.53,79.59,0.0,8.96,off,1.68
00:38:56,29.57,79.57,0.0,8.9,off,1.68
00:38:57,29.55,79.62,0.0,8.96,off,1.68
00:38:59,29.54,79.62,0.0,9.01,off,1.68
00:39:00,29.56,79.63,0.0,9.1,off,1.68
00:39:02,29.54,79.65,0.0,8.9,off,1.68
00:39:04,29.56,79.65,0.0,8.98,off,1.68
00:39:05,29.54,79.67,0.0,9.01,off,1.68
00:39:07,29.57,79.67,0.0,8.96,off,1.68
00:39:09,29.55,79.69,0.0,9.13,off,1.68
00:39:11,29.55,79.68,0.0,8.78,off,1.68
00:39:13,29.54,79.69,0.0,8.93,off,1.68
00:39:14,29.57,79.67,0.0,8.84,off,1.68
00:39:16,29.56,79.7,0.0,8.84,off,1.68
00:39:18,29.56,79.72,0.0,8.9,off,1.68
00:39:20,29.57,79.69,0.0,9.1,off,1.68
00:39:22,29.56,79.68,0.0,8.9,off,1.68
00:39:24,29.55,79.65,0.0,8.78,off,1.68
00:39:26,29.55,79.64,0.0,8.93,off,1.68
00:39:27,29.54,79.65,0.0,8.78,off,1.68
00:39:29,29.57,79.64,0.0,8.78,off,1.68
00:39:31,29.56,79.64,0.0,8.84,off,1.68
00:39:33,29.57,79.66,0.0,8.87,off,1.68
00:39:35,29.57,79.66,0.0,8.98,off,1.68
00:39:36,29.57,79.7,0.0,8.9,off,1.68
00:39:38,29.58,79.66,0.0,8.84,off,1.68
00:39:40,29.57,79.67,0.0,8.84,off,1.68
00:39:42,29.59,79.69,0.0,8.84,off,1.68
00:39:44,29.58,79.67,0.0,8.87,off,1.68
00:39:46,29.55,79.66,0.0,8.87,off,1.68
00:39:48,29.58,79.69,0.0,8.78,off,1.68
00:39:50,29.57,79.68,0.0,8.96,off,1.68
00:39:51,29.57,79.68,0.0,8.87,off,1.68
00:39:52,29.57,79.65,0.0,8.93,off,1.68
00:39:54,29.57,79.64,0.0,9.04,off,1.68
00:39:55,29.59,79.65,0.0,8.87,off,1.68
00:39:57,29.59,79.59,0.0,8.93,off,1.68
00:39:58,29.58,79.54,0.0,8.98,off,1.68
00:40:00,29.58,79.54,0.0,8.84,off,1.68
00:40:02,29.58,79.55,0.0,8.78,off,1.68
00:40:04,29.57,79.55,0.0,8.84,off,1.68
00:40:06,29.58,79.57,0.0,8.84,off,1.68
00:40:08,29.6,79.56,0.0,8.87,off,1.68
00:40:10,29.58,79.55,0.0,8.78,off,1.68
00:40:11,29.57,79.53,0.0,8.87,off,1.68
00:40:14,29.61,79.54,0.0,8.84,off,1.68
00:40:15,29.61,79.53,0.0,8.87,off,1.68
00:40:17,29.57,79.5,0.0,8.78,off,1.68
00:40:18,29.58,79.49,0.0,9.07,off,1.68
00:40:20,29.6,79.42,0.0,8.78,off,1.68
00:40:22,29.6,79.4,0.0,8.78,off,1.68
00:40:24,29.59,79.39,0.0,8.78,off,1.68
00:40:26,29.58,79.36,0.0,8.72,off,1.68
00:40:28,29.61,79.38,0.0,8.84,off,1.68
00:40:30,29.6,79.4,0.0,8.87,off,1.68
00:40:32,29.61,79.41,0.0,8.84,off,1.68
00:40:33,29.59,79.42,0.0,8.9,off,1.68
00:40:35,29.61,79.46,0.0,8.78,off,1.68
00:40:37,29.58,79.45,0.0,8.81,off,1.68
00:40:39,29.6,79.5,0.0,8.93,off,1.68
00:40:40,29.59,79.47,0.0,8.84,off,1.68
00:40:42,29.6,79.49,0.0,8.78,off,1.68
00:40:44,29.59,79.48,0.0,8.93,off,1.68
00:40:45,29.59,79.49,0.0,8.78,off,1.68
00:40:47,29.6,79.49,0.0,8.78,off,1.68
00:40:48,29.6,79.48,0.0,8.9,off,1.68
00:40:50,29.6,79.49,0.0,8.84,off,1.68
00:40:52,29.6,79.51,0.0,8.72,off,1.68
00:40:54,29.61,79.49,0.0,8.78,off,1.68
00:40:56,29.6,79.48,0.0,8.72,off,1.68
00:40:58,29.61,79.44,0.0,8.87,off,1.68
00:40:59,29.6,79.44,0.0,9.07,off,1.68
00:41:01,29.6,79.46,0.0,9.24,off,1.68
00:41:03,29.6,79.5,0.0,9.24,off,1.68
00:41:04,29.6,79.49,0.0,8.93,off,1.68
00:41:06,29.61,79.48,0.0,8.87,off,1.68
00:41:08,29.62,79.49,0.0,8.93,off,1.68
00:41:09,29.61,79.52,0.0,8.87,off,1.68
00:41:11,29.61,79.53,0.0,8.96,off,1.68
00:41:13,29.6,79.51,0.0,8.78,off,1.68
00:41:14,29.58,79.51,0.0,8.49,off,1.68
00:41:16,29.61,79.51,0.0,8.75,off,1.68
00:41:18,29.6,79.5,0.0,8.81,off,1.68
00:41:20,29.59,79.46,0.0,8.61,off,1.68
00:41:21,29.61,79.51,0.0,8.72,off,1.68
00:41:23,29.61,79.49,0.0,9.65,off,1.68
00:41:24,29.58,79.46,0.0,9.91,off,1.68
00:41:26,29.6,79.47,0.0,10.0,off,1.68
00:41:28,29.61,79.41,0.0,9.94,off,1.68
00:41:30,29.59,79.36,0.0,8.43,off,1.68
00:41:32,29.62,79.36,0.0,9.19,off,1.68
00:41:33,29.63,79.38,0.0,10.08,off,1.68
00:41:35,29.59,79.35,0.0,9.71,off,1.68
00:41:38,29.62,79.29,0.0,9.3,off,1.68
00:41:39,29.59,79.29,0.0,9.36,off,1.68
00:41:41,29.6,79.29,0.0,9.07,off,1.68
00:41:43,29.6,79.32,0.0,9.07,off,1.68
00:41:45,29.63,79.34,0.0,9.16,off,1.68
00:41:46,29.6,79.35,0.0,9.01,off,1.68
00:41:48,29.62,79.34,0.0,9.1,off,1.68
00:41:50,29.6,79.34,0.0,9.04,off,1.68
00:41:52,29.61,79.33,0.0,9.65,off,1.68
00:41:54,29.59,79.33,0.0,9.36,off,1.68
00:41:55,29.59,79.31,0.0,9.5,off,1.68
00:41:57,29.62,79.3,0.0,9.5,off,1.68
00:41:59,29.6,79.24,0.0,9.48,off,1.68
00:42:01,29.61,79.21,0.0,9.5,off,1.68
00:42:03,29.62,79.22,0.0,9.45,off,1.68
00:42:04,29.61,79.23,0.0,9.19,off,1.68
00:42:06,29.61,79.23,0.0,9.76,off,1.68
00:42:08,29.61,79.25,0.0,9.76,off,1.68
00:42:09,29.61,79.29,0.0,9.71,off,1.68
00:42:11,29.6,79.28,0.0,9.48,off,1.68
00:42:13,29.6,79.3,0.0,9.53,off,1.68
00:42:14,29.61,79.31,0.0,9.74,off,1.68
00:42:16,29.61,79.29,0.0,9.88,off,1.68
00:42:17,29.6,79.28,0.0,9.88,off,1.68
00:42:19,29.61,79.3,0.0,9.76,off,1.68
00:42:21,29.59,79.29,0.0,9.97,off,1.68
00:42:23,29.6,79.29,0.0,10.0,off,1.68
00:42:25,29.62,79.28,0.0,9.82,off,1.68
00:42:26,29.6,79.25,0.0,9.82,off,1.68
00:42:28,29.64,79.28,0.0,9.88,off,1.68
00:42:30,29.61,79.21,0.0,9.94,off,1.68
00:42:32,29.59,79.18,0.0,9.94,off,1.68
00:42:34,29.6,79.2,0.0,9.97,off,1.68
00:42:36,29.61,79.22,0.0,9.94,off,1.68
